id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
WHO-TROP-001,WHO,Malaria Case Management Operational Manual,2024,https://www.who.int/publications/i/item/9789240097872,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-002,WHO,Severe Malaria Treatment,2014,https://www.who.int/publications/i/item/severe-malaria-tropical-medicine-international-health,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-003,WHO,Visceral Leishmaniasis Treatment,2010,https://www.who.int/publications/i/item/WHO-TRS-949,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-004,WHO,Leishmaniasis Diagnosis Treatment Prevention,2024,https://www.who.int/publications/i/item/9789240095427,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-005,WHO,Schistosomiasis Treatment Control Programs,2022,https://www.who.int/publications/i/item/9789240041608,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-006,WHO,Soil-Transmitted Helminthiases,2017,https://www.who.int/publications/i/item/9789241550116,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-007,WHO,Lymphatic Filariasis Diagnosis,2018,https://www.who.int/publications/i/item/9789241550161,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-008,WHO,Onchocerciasis Elimination,2016,https://www.who.int/publications/i/item/9789241549950,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-009,WHO,Dracunculiasis Eradication,2018,https://www.who.int/publications/i/item/9789241513586,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-010,WHO,Chagas Disease Treatment,2018,https://www.who.int/publications/i/item/9789241513876,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-011,WHO,Human African Trypanosomiasis,2019,https://www.who.int/publications/i/item/9789241550567,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-012,WHO,Buruli Ulcer Diagnosis Treatment,2022,https://www.who.int/publications/i/item/9789240048232,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-013,WHO,Yaws Eradication,2022,https://www.who.int/publications/i/item/9789240048324,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-014,WHO,Leprosy Diagnosis Treatment Prevention,2018,https://www.who.int/publications/i/item/9789290226383,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-015,WHO,Rabies Vaccine Position Paper,2018,https://www.who.int/publications/i/item/who-wer9316,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-016,WHO,Snakebite Management Africa,2010,https://www.who.int/publications/i/item/9789290223771,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-017,WHO,Echinococcosis Diagnosis Treatment,2010,https://www.who.int/publications/i/item/echinococcosis-handbook,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-018,WHO,Trachoma Elimination,2020,https://www.who.int/publications/i/item/9789240015371,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-019,WHO,Dengue Diagnosis Treatment Prevention,2009,https://www.who.int/publications/i/item/9789241547871,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-020,WHO,Chikungunya Outbreak Management,2009,https://www.who.int/publications/i/item/9789290224167,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-021,WHO,Zika Virus Country Office,2016,https://www.who.int/publications/i/item/9789241510158,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-022,WHO,Yellow Fever Vaccination,2019,https://www.who.int/publications/i/item/9789241516198,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-023,WHO,Cholera Vaccine Position Paper,2017,https://www.who.int/publications/i/item/who-wer9234-477-498,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-024,WHO,Cholera Treatment Manual,2018,https://www.who.int/publications/i/item/cholera-treatment-strategies-2018,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-025,WHO,Typhoid Fever Vaccines Position,2019,https://www.who.int/publications/i/item/who-wer-no-13-2019,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-026,WHO,Ebola Virus Disease Clinical Management,2024,https://www.who.int/publications/i/item/9789240072107,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-027,WHO,Marburg Virus Disease Management,2024,https://www.who.int/publications/i/item/9789240094413,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-028,WHO,Lassa Fever Management,2024,https://www.who.int/publications/i/item/9789240091856,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-029,WHO,Mycetoma Eumycetoma Actinomycetoma,2019,https://www.who.int/publications/i/item/9789241516136,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-030,WHO,Foodborne Trematodiases,2018,https://www.who.int/publications/i/item/9789241549936,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-031,WHO,Taeniasis Cysticercosis Programmatic Update,2019,https://www.who.int/publications/i/item/9789241516327,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-032,WHO,Roadmap for Neglected Tropical Diseases 2021-2030,2021,https://www.who.int/publications/i/item/9789240010352,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-033,WHO,Visceral Leishmaniasis Eastern Africa,2024,https://www.who.int/publications/i/item/9789240092877,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,medium
WHO-TROP-034,WHO,Antibiotics Antimicrobials Resistance Tropical,2023,https://www.who.int/publications/i/item/9789240076556,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
WHO-TROP-035,WHO,Diarrhoeal Diseases Children,2017,https://www.who.int/publications/i/item/9789241549950,,CC BY-NC-SA 3.0 IGO,restricted,tropical_diseases,high
CDC-TROP-001,CDC,Travelers Health Yellow Book,2024,https://wwwnc.cdc.gov/travel/yellowbook/2024/table-of-contents,,US Public Domain,allowed,tropical_diseases,high
