id,source,title,year,page_url,pdf_url_hint,license,commercial_use,clinical_domain,priority
NICE-001,NICE,Hypertension in adults: diagnosis and management,2026,https://www.nice.org.uk/guidance/ng136,,NICE © (NHS free; commercial=license),restricted,cardiology,high
NICE-002,NICE,Type 2 diabetes in adults: management,2022,https://www.nice.org.uk/guidance/ng28,,NICE ©,restricted,endocrinology,high
NICE-003,NICE,Type 1 diabetes in adults: diagnosis and management,2022,https://www.nice.org.uk/guidance/ng17,,NICE ©,restricted,endocrinology,high
NICE-004,NICE,Diabetes in pregnancy,2020,https://www.nice.org.uk/guidance/ng3,,NICE ©,restricted,obstetrics,high
NICE-005,NICE,Chronic kidney disease: assessment and management,2025,https://www.nice.org.uk/guidance/ng203,,NICE ©,restricted,nephrology,high
NICE-006,NICE,Chronic heart failure in adults,2018,https://www.nice.org.uk/guidance/ng106,,NICE ©,restricted,cardiology,high
NICE-007,NICE,Acute coronary syndromes,2020,https://www.nice.org.uk/guidance/ng185,,NICE ©,restricted,cardiology,high
NICE-008,NICE,Atrial fibrillation: diagnosis and management,2021,https://www.nice.org.uk/guidance/ng196,,NICE ©,restricted,cardiology,high
NICE-009,NICE,Stroke and TIA in over 16s,2022,https://www.nice.org.uk/guidance/ng128,,NICE ©,restricted,neurology,high
NICE-010,NICE,Stroke rehabilitation in adults,2023,https://www.nice.org.uk/guidance/ng236,,NICE ©,restricted,neurology,medium
NICE-011,NICE,COPD in over 16s: diagnosis and management,2019,https://www.nice.org.uk/guidance/ng115,,NICE ©,restricted,respiratory,high
NICE-012,NICE,Asthma: diagnosis monitoring and chronic management,2024,https://www.nice.org.uk/guidance/ng245,,NICE ©,restricted,respiratory,high
NICE-013,NICE,Pneumonia (community-acquired): antimicrobial prescribing,2019,https://www.nice.org.uk/guidance/ng138,,NICE ©,restricted,infectious,high
NICE-014,NICE,COVID-19 rapid guideline,2024,https://www.nice.org.uk/guidance/ng191,,NICE ©,restricted,infectious,medium
NICE-015,NICE,Depression in adults: treatment and management,2022,https://www.nice.org.uk/guidance/ng222,,NICE ©,restricted,psychiatry,high
NICE-016,NICE,Self-harm: assessment management and preventing recurrence,2022,https://www.nice.org.uk/guidance/ng225,,NICE ©,restricted,psychiatry,high
NICE-017,NICE,ADHD: diagnosis and management,2019,https://www.nice.org.uk/guidance/ng87,,NICE ©,restricted,psychiatry,medium
NICE-018,NICE,Dementia: assessment management and support,2018,https://www.nice.org.uk/guidance/ng97,,NICE ©,restricted,neurology,high
NICE-019,NICE,Chronic pain in over 16s,2021,https://www.nice.org.uk/guidance/ng193,,NICE ©,restricted,pain,medium
NICE-020,NICE,Low back pain and sciatica in over 16s,2020,https://www.nice.org.uk/guidance/ng59,,NICE ©,restricted,musculoskeletal,high
NICE-021,NICE,Osteoarthritis in over 16s,2022,https://www.nice.org.uk/guidance/ng226,,NICE ©,restricted,musculoskeletal,high
NICE-022,NICE,Rheumatoid arthritis in adults,2020,https://www.nice.org.uk/guidance/ng100,,NICE ©,restricted,rheumatology,medium
NICE-023,NICE,Suspected cancer: recognition and referral,2023,https://www.nice.org.uk/guidance/ng12,,NICE ©,restricted,oncology,high
